common_name,scientific_name,alternative_common_names,alternative_scientific_names
Rufous-tailed Plantcutter,Phytotoma rara,,
Peruvian Plantcutter,Phytotoma raimondii,,
White-tipped Plantcutter,Phytotoma rutila,,
Swallow-tailed Cotinga,Phibalura flavirostris,,
Apolo Cotinga,Phibalura boliviana,Palkachupa Cotinga,
,Phibalura flavirostris,,
Bay-vented Cotinga,Doliornis sclateri,,Ampelion sclateri
Chestnut-bellied Cotinga,Doliornis remseni,,Ampelion remseni
Red-crested Cotinga,Ampelion rubrocristatus,,Ampelion rubrocristata
Chestnut-crested Cotinga,Ampelion rufaxilla,,
Crimson Fruitcrow,Haematoderus militaris,,Haemotoderus militaris
Purple-throated Fruitcrow,Querula purpurata,,
Red-ruffed Fruitcrow,Pyroderus scutatus,,
,Pyroderus granadensis,,
Bare-necked Umbrellabird,Cephalopterus glabricollis,,
Long-wattled Umbrellabird,Cephalopterus penduliger,P�jaro-paraguas Longuipendulo,
Amazonian Umbrellabird,Cephalopterus ornatus,,
Capuchinbird,Perissocephalus tricolor,,
Rufous Piha,Lipaugus unirufus,,
Black-and-gold Cotinga,Lipaugus ater,,Tijuca atra
Grey-winged Cotinga,Lipaugus conditus,Gray-winged Cotinga,Tijuca condita
Cinnamon-vented Piha,Lipaugus lanioides,,
Rose-collared Piha,Lipaugus streptophorus,,
Screaming Piha,Lipaugus vociferans,,
Chestnut-capped Piha,Lipaugus weberi,,
Dusky Piha,Lipaugus fuscocinereus,,
Scimitar-winged Piha,Lipaugus uropygialis,,Chirocylla uropygialis
White Bellbird,Procnias albus,,Procnias alba
Three-wattled Bellbird,Procnias tricarunculatus,,Procnias tricarunculata
Bare-throated Bellbird,Procnias nudicollis,,
Bearded Bellbird,Procnias averano,,
Plum-throated Cotinga,Cotinga maynana,,
Spangled Cotinga,Cotinga cayana,,
Lovely Cotinga,Cotinga amabilis,,
Blue Cotinga,Cotinga nattererii,,
Turquoise Cotinga,Cotinga ridgwayi,,
Banded Cotinga,Cotinga maculata,"Cotinga de Corbata, Spotted Cotinga",
Purple-breasted Cotinga,Cotinga cotinga,,
Purple-throated Cotinga,Porphyrolaema porphyrolaema,,
Black-faced Cotinga,Conioptilon mcilhennyi,,
Bare-necked Fruitcrow,Gymnoderus foetidus,,
Pompadour Cotinga,Xipholena punicea,,
White-tailed Cotinga,Xipholena lamellipennis,,
White-winged Cotinga,Xipholena atropurpurea,Cotinga Aliblanca,
Black-tipped Cotinga,Carpodectes hopkei,,
Yellow-billed Cotinga,Carpodectes antoniae,,
Snowy Cotinga,Carpodectes nitidus,,
Sharpbill,Oxyruncus cristatus,,
Northern Royal Flycatcher,Onychorhynchus mexicanus,Northern Royal-Flycatcher,
Pacific Royal Flycatcher,Onychorhynchus occidentalis,Western Royal-Flycatcher,
Amazonian Royal Flycatcher,Onychorhynchus coronatus,Amazonian Royal-Flycatcher,
Atlantic Royal Flycatcher,Onychorhynchus swainsoni,Swainson's Royal-Flycatcher,
,Onychorhynchus coronatus,Royal Flycatcher,
Ruddy-tailed Flycatcher,Terenotriccus erythrurus,,Myiobius erythrurus
Tawny-breasted Flycatcher,Myiobius villosus,Tawny-breasted Myiobius,
Sulphur-rumped Flycatcher,Myiobius sulphureipygius,Sulphur-rumped Myiobius,
Whiskered Flycatcher,Myiobius barbatus,"Whiskered Myiobius, Bearded Flycatcher",
Black-tailed Flycatcher,Myiobius atricaudus,Black-tailed Myiobius,
,Myiobius barbatus,,
White-browed Purpletuft,Iodopleura isabellae,,
Dusky Purpletuft,Iodopleura fusca,,
Buff-throated Purpletuft,Iodopleura pipra,,
Black-crowned Tityra,Tityra inquisitor,,
Western Black-tailed Tityra,Tityra cayana,,
Eastern Black-tailed Tityra,Tityra braziliensis,,
Masked Tityra,Tityra semifasciata,,
White-tailed Tityra,Tityra leucura,,
,Tityra cayana,,
White-naped Becard,Xenopsaris albinucha,White-naped Xenopsaris,
Barred Becard,Pachyramphus versicolor,,
Yellow-cheeked Becard,Pachyramphus xanthogenys,,
Green-cheeked Becard,Pachyramphus griseigularis,,
Green-backed Becard,Pachyramphus viridis,,
Slaty Becard,Pachyramphus spodiurus,,
Cinereous Becard,Pachyramphus rufus,,
Pink-throated Becard,Pachyramphus minor,,
Rose-throated Becard,Pachyramphus aglaiae,,
Jamaican Becard,Pachyramphus niger,,
One-colored Becard,Pachyramphus homochrous,One-coloured Becard,
Crested Becard,Pachyramphus validus,,
Glossy-backed Becard,Pachyramphus surinamus,,
Cinnamon Becard,Pachyramphus cinnamomeus,,
Chestnut-crowned Becard,Pachyramphus castaneus,,
Western Grey-collared Becard,Pachyramphus uropygialis,,
Eastern Grey-collared Becard,Pachyramphus major,,
Black-capped Becard,Pachyramphus marginatus,,
White-winged Becard,Pachyramphus polychopterus,White-winged,
Black-and-white Becard,Pachyramphus albogriseus,,
,Pachyramphus major,Gray-collared Becard,
,Pachyramphus viridis,,
Varzea Schiffornis,Schiffornis major,Greater Schiffornis,
Greenish Schiffornis,Schiffornis virescens,,
Olivaceous Mourner,Schiffornis olivacea,,
Russet-winged Mourner,Schiffornis stenorhyncha,,
Brown-winged Mourner,Schiffornis turdina,,
Foothill Mourner,Schiffornis aenea,,
Northern Mourner,Schiffornis veraepacis,,
,Schiffornis turdina,,
Speckled Mourner,Laniocera rufescens,,
Cinereous Mourner,Laniocera hypopyrra,,
Andean Mourner,Laniisoma buckleyi,,
Elegant Mourner,Laniisoma elegans,,
,Laniisoma elegans,Brazilian Laniisoma,
Kinglet Calyptura,Calyptura cristata,Kinglet Cotinga,
Cinnamon Manakin-tyrant,Neopipo cinnamomea,"Cinnamon Neopipo, Cinnamon Manakin-Tyrant, Cinnamon Tyrant-Manakin",
Cinnamon-crested Spadebill,Platyrinchus saturatus,,
Stub-tailed Spadebill,Platyrinchus cancrominus,,
Western White-throated Spadebill,Platyrinchus albogularis,,
Eastern White-throated Spadebill,Platyrinchus mystaceus,,
Golden-crowned Spadebill,Platyrinchus coronatus,,
Yellow-throated Spadebill,Platyrinchus flavigularis,,
White-crested Spadebill,Platyrinchus platyrhynchos,,
Russet-winged Spadebill,Platyrinchus leucoryphus,,
,Platyrinchus mystaceus,,
Grey-headed Piprites,Piprites griseiceps,Gray-headed Piprites,
Wing-barred Piprites,Piprites chloris,,
Black-capped Piprites,Piprites pileata,,Piprites pileatus
Many-colored Rush-tyrant,Tachuris rubrigastra,"Many-colored Rush Tyrant, Many-coloured Rush-tyrant",
Bronze-olive Pygmy-tyrant,Pseudotriccus pelzelni,"Bronze-olive Pygmy-Tyrant, Bronze-olive Pygmy Tyrant",
Hazel-fronted Pygmy-tyrant,Pseudotriccus simplex,"Hazel-fronted Pygmy-Tyrant, Hazel-fronted Pygmy Tyrant",
Rufous-headed Pygmy-tyrant,Pseudotriccus ruficeps,"Rufous-headed Pygmy-Tyrant, Rufous-headed Pygmy Tyrant",
Ringed Antpipit,Corythopis torquatus,,Corythopis torquata
Southern Antpipit,Corythopis delalandi,,
Yellow-green Tyrannulet,Phylloscartes flavovirens,Panamanian Tyrannulet,
Mottle-cheeked Tyrannulet,Phylloscartes ventralis,,
Olive-green Tyrannulet,Phylloscartes virescens,,
Bahia Tyrannulet,Phylloscartes beckeri,,
Restinga Tyrannulet,Phylloscartes kronei,,
Ecuadorian Tyrannulet,Phylloscartes gualaquizae,,
Black-fronted Tyrannulet,Phylloscartes nigrifrons,,
Alagoas Tyrannulet,Phylloscartes ceciliae,Long-tailed Tyrannulet,
Rufous-browed Tyrannulet,Phylloscartes superciliaris,,
Rufous-lored Tyrannulet,Phylloscartes flaviventris,,
Cinnamon-faced Tyrannulet,Phylloscartes parkeri,,
Minas Gerais Tyrannulet,Phylloscartes roquettei,,
Sao Paulo Tyrannulet,Phylloscartes paulista,S�o Paulo Tyrannulet,Phylloscartes paulistus
Oustalet's Tyrannulet,Phylloscartes oustaleti,,
Serra do Mar Tyrannulet,Phylloscartes difficilis,Serra Do Mar Tyrannulet,
Bay-ringed Tyrannulet,Phylloscartes sylviolus,,Leptotriccus sylviolus
Variegated Bristle-tyrant,Pogonotriccus poecilotis,Variegated Bristle-Tyrant,Phylloscartes poecilotis
Chapman's Bristle-tyrant,Pogonotriccus chapmani,Chapman's Tyrannulet,Phylloscartes chapmani
Marble-faced Bristle-tyrant,Pogonotriccus ophthalmicus,Marble-faced Bristle-Tyrant,Phylloscartes ophthalmicus
Venezuelan Bristle-tyrant,Pogonotriccus venezuelanus,Venezuelan Bristle-Tyrant,Pogonotriccus venezuelanus; Phylloscartes venezuelanus
Antioquia Bristle-tyrant,Pogonotriccus lanyoni,Antioquia Bristle-Tyrant,Phylloscartes lanyoni
Spectacled Bristle-tyrant,Pogonotriccus orbitalis,Spectacled Bristle-Tyrant,Phylloscartes orbitalis
Southern Bristle-tyrant,Pogonotriccus eximius,Southern Bristle-Tyrant,Pogonotriccus eximius; Phylloscartes eximius
Streak-necked Flycatcher,Mionectes striaticollis,,
Olive-streaked Flycatcher,Mionectes olivaceus,,
Olive-striped Flycatcher,Mionectes galbinus,,
Ochre-bellied Flycatcher,Mionectes oleagineus,,
McConnell's Flycatcher,Mionectes macconnelli,,
Sierra de Lema Flycatcher,Mionectes roraimae,,
Grey-hooded Flycatcher,Mionectes rufiventris,Gray-hooded Flycatcher,
,Mionectes olivaceus,,
,Mionectes macconnelli,,
Sepia-capped Flycatcher,Leptopogon amaurocephalus,,
Slaty-capped Flycatcher,Leptopogon superciliaris,,
White-bellied Flycatcher,Leptopogon albidiventer,,
Rufous-breasted Flycatcher,Leptopogon rufipectus,,
Inca Flycatcher,Leptopogon taczanowskii,,
,Leptopogon superciliaris,,
Black-chested Tyrant,Taeniotriccus andrei,,Poecilotriccus andrei
Brownish Twistwing,Cnipodectes subbrunneus,Brownish Flycatcher,
Rufous Twistwing,Cnipodectes superrufus,,
Eye-ringed Flatbill,Rhynchocyclus brevirostris,,
Western Olivaceous Flatbill,Rhynchocyclus aequinoctialis,,
Eastern Olivaceous Flatbill,Rhynchocyclus olivaceus,,
Pacific Flatbill,Rhynchocyclus pacificus,,
Fulvous-breasted Flatbill,Rhynchocyclus fulvipectus,,
,Rhynchocyclus brevirostris,,
,Rhynchocyclus olivaceus,,
Yellow-olive Flatbill,Tolmomyias sulphurescens,Yellow-olive Flycatcher,
Orange-eyed Flatbill,Tolmomyias traylori,"Orange-eyed Flycatcher�, Orange-eyed Flycatcher",
Yellow-margined Flatbill,Tolmomyias assimilis,,
Yellow-winged Flatbill,Tolmomyias flavotectus,,
Grey-crowned Flatbill,Tolmomyias poliocephalus,"Gray-crowned Flycatcher, Grey-crowned Flycatcher",
Olive-faced Flatbill,Tolmomyias viridiceps,,
Ochre-lored Flatbill,Tolmomyias flaviventris,,
,Tolmomyias assimilis,Zimmer's Flatbill,
,Tolmomyias flaviventris,,
Eared Pygmy-tyrant,Myiornis auricularis,"Eared Pygmy-Tyrant, Eared Pygmy Tyrant",
White-bellied Pygmy-tyrant,Myiornis albiventris,"White-bellied Pygmy Tyrant, White-bellied Pygmy-Tyrant",
Black-capped Pygmy-tyrant,Myiornis atricapillus,"Black-capped Pygmy-Tyrant, Black-capped Pygmy Tyrant",
Short-tailed Pygmy-tyrant,Myiornis ecaudatus,"Short-tailed Pygmy-Tyrant, Short-tailed Pygmy Tyrant",
Northern Bentbill,Oncostoma cinereigulare,,
Southern Bentbill,Oncostoma olivaceum,,
Scale-crested Pygmy-tyrant,Lophotriccus pileatus,"Scale-crested Pygmy-Tyrant, Scale-crested Pygmy Tyrant",
Double-banded Pygmy-tyrant,Lophotriccus vitiosus,"Double-banded Pygmy Tyrant, Double-banded Pygmy-Tyrant",
Long-crested Pygmy-tyrant,Lophotriccus eulophotes,"Long-crested Pygmy Tyrant, Long-crested Pygmy-Tyrant",
Helmeted Pygmy-tyrant,Lophotriccus galeatus,"Helmeted Pygmy Tyrant, Helmeted Pygmy-Tyrant",
Pale-eyed Pygmy-tyrant,Atalotriccus pilaris,Pale-eyed Pygmy-Tyrant,Lophotriccus pilaris
Snethlage's Tody-tyrant,Hemitriccus minor,Snethlage's Tody-Tyrant,
Acre Tody-tyrant,Hemitriccus cohnhafti,,
Yungas Tody-tyrant,Hemitriccus spodiops,Yungas Tody-Tyrant,
Flammulated Bamboo-tyrant,Hemitriccus flammulatus,"Flammulated Bamboo-Tyrant, Flammulated Pygmy-Tyrant, Flammulated Bamboo Tyrant",
Drab-breasted Bamboo-tyrant,Hemitriccus diops,"Drab-breasted Bamboo-Tyrant, Drab-breasted Pygmy-Tyrant, Drab-breasted Bamboo Tyrant",
Brown-breasted Bamboo-tyrant,Hemitriccus obsoletus,"Brown-breasted Bamboo-Tyrant, Brown-breasted Pygmy-Tyrant, Brown-breasted Bamboo Tyrant",
Boat-billed Tody-tyrant,Hemitriccus josephinae,Boat-billed Tody-Tyrant,Microcochlearius josephinae
White-eyed Tody-tyrant,Hemitriccus zosterops,White-eyed Tody-Tyrant,
White-bellied Tody-tyrant,Hemitriccus griseipectus,"White-bellied Tody-Tyrant�, White-bellied Tody-Tyrant",
Eye-ringed Tody-tyrant,Hemitriccus orbitatus,Eye-ringed Tody-Tyrant,Idioptilon orbitatum
Joao's Tody-tyrant,Hemitriccus iohannis,"Johannes's Tody-Tyrant, Johannes's Tody-tyrant",
Stripe-necked Tody-tyrant,Hemitriccus striaticollis,Stripe-necked Tody-Tyrant,
Hangnest Tody-tyrant,Hemitriccus nidipendulus,Hangnest Tody-Tyrant,Idioptilon nidipendulum
Pearly-vented Tody-tyrant,Hemitriccus margaritaceiventer,Pearly-vented Tody-Tyrant,
Pelzeln's Tody-tyrant,Hemitriccus inornatus,Pelzeln's Tody-Tyrant,
Zimmer's Tody-tyrant,Hemitriccus minimus,"Zimmer's Tody-Tyrant, Dwarf Tody-Tyrant",Hemitriccus aenigma; Idioptilon aenigma
Black-throated Tody-tyrant,Hemitriccus granadensis,Black-throated Tody-Tyrant,
Cinnamon-breasted Tody-tyrant,Hemitriccus cinnamomeipectus,Cinnamon-breasted Tody-Tyrant,
Buff-breasted Tody-tyrant,Hemitriccus mirandae,Buff-breasted Tody-Tyrant,
Kaempfer's Tody-tyrant,Hemitriccus kaempferi,Kaempfer's Tody-Tyrant,
Buff-throated Tody-tyrant,Hemitriccus rufigularis,Buff-throated Tody-Tyrant,
Fork-tailed Tody-tyrant,Hemitriccus furcatus,"Fork-tailed Pygmy-Tyrant, Fork-tailed Pygmy-tyrant",Ceratotriccus furcatus
,Hemitriccus zosterops,White-eyed Tody-Tyrant,
Rufous-crowned Tody-flycatcher,Poecilotriccus ruficeps,"Rufous-crowned Tody-Flycatcher, Rufous-crowned Tody-Tyrant",
Lulu's Tody-flycatcher,Poecilotriccus luluae,"Lulu's Tody-Flycatcher, Johnson's Tody-flycatcher",Poecilotriccus sp.nov.
White-cheeked Tody-flycatcher,Poecilotriccus albifacies,"White-cheeked Tody-Tyrant, White-cheeked Tody-Flycatcher",Todirostrum albifacies
Black-and-white Tody-flycatcher,Poecilotriccus capitalis,"Black-and-white Tody-Flycatcher, Black-and-white Tody-Tyrant",
Buff-cheeked Tody-flycatcher,Poecilotriccus senex,Buff-cheeked Tody-Flycatcher,Todirostrum senex
Ruddy Tody-flycatcher,Poecilotriccus russatus,Ruddy Tody-Flycatcher,Todirostrum russatum
Ochre-faced Tody-flycatcher,Poecilotriccus plumbeiceps,Ochre-faced Tody-Flycatcher,Todirostrum plumbeiceps
Smoky-fronted Tody-flycatcher,Poecilotriccus fumifrons,Smoky-fronted Tody-Flycatcher,Todirostrum fumifrons
Rusty-fronted Tody-flycatcher,Poecilotriccus latirostris,Rusty-fronted Tody-Flycatcher,Todirostrum latirostre
Slate-headed Tody-flycatcher,Poecilotriccus sylvia,"Slaty-headed Tody-Flycatcher, Slate-headed Tody-Flycatcher",Todirostrum sylvia
Golden-winged Tody-flycatcher,Poecilotriccus calopterus,Golden-winged Tody-Flycatcher,Todirostrum calopterum
Black-backed Tody-flycatcher,Poecilotriccus pulchellus,Black-backed Tody-Flycatcher,Todirostrum pulchellum
Spotted Tody-flycatcher,Todirostrum maculatum,Spotted Tody-Flycatcher,
Yellow-lored Tody-flycatcher,Todirostrum poliocephalum,"Gray-headed Tody-Flycatcher, Yellow-lored Tody-Flycatcher",
Common Tody-flycatcher,Todirostrum cinereum,Common Tody-Flycatcher,
Maracaibo Tody-flycatcher,Todirostrum viridanum,Maracaibo Tody-Flycatcher,
Black-headed Tody-flycatcher,Todirostrum nigriceps,Black-headed Tody-Flycatcher,
Painted Tody-flycatcher,Todirostrum pictum,Painted Tody-Flycatcher,
Yellow-browed Tody-flycatcher,Todirostrum chrysocrotaphum,Yellow-browed Tody-Flycatcher,
Eastern Ornate Flycatcher,Myiotriccus phoenicurus,,
Western Ornate Flycatcher,Myiotriccus ornatus,,
,Myiotriccus ornatus,,
Handsome Flycatcher,Nephelomyias pulcher,,Myiophobus pulcher
Orange-banded Flycatcher,Nephelomyias lintoni,,Myiophobus lintoni
Ochraceous-breasted Flycatcher,Nephelomyias ochraceiventris,,Myiophobus ochraceiventris
Cinnamon Flycatcher,Pyrrhomyias cinnamomeus,,Pyrrhomyias cinnamomea
Swallow Flycatcher,Hirundinea bellicosa,,
Cliff Flycatcher,Hirundinea ferruginea,,
,Hirundinea ferruginea,,
Red-billed Tyrannulet,Zimmerius cinereicapilla,,Zimmerius cinereicapillus
Mishana Tyrannulet,Zimmerius villarejoi,,
Chico's Tyrannulet,Zimmerius chicomendesi,,
Paltry Tyrannulet,Zimmerius vilissimus,,
Mistletoe Tyrannulet,Zimmerius parvus,,
Venezuelan Tyrannulet,Zimmerius petersi,,
Mountain Tyrannulet,Zimmerius improbus,,
Golden-faced Tyrannulet,Zimmerius chrysops,,
Choco Tyrannulet,Zimmerius albigularis,,
Peruvian Tyrannulet,Zimmerius viridiflavus,Tschudi's Tyrannulet,
Slender-footed Tyrannulet,Zimmerius gracilipes,,
Guianan Tyrannulet,Zimmerius acer,,
Bolivian Tyrannulet,Zimmerius bolivianus,,
,Zimmerius vilissimus,,
,Zimmerius improbus,,
,Zimmerius chrysops,,
,Zimmerius gracilipes,,
Lesser Wagtail-tyrant,Stigmatura napensis,,
Bahia Wagtail-tyrant,Stigmatura bahiae,,
Greater Wagtail-tyrant,Stigmatura budytoides,Greater Wagtail-Tyrant,
,Stigmatura napensis,Lesser Wagtail-Tyrant,
Slender-billed Tyrannulet,Inezia tenuirostris,Slender-billed Inezia,
Plain Tyrannulet,Inezia inornata,Plain Inezia,
Amazonian Tyrannulet,Inezia subflava,Amazonian Inezia,
Pale-tipped Tyrannulet,Inezia caudata,Pale-tipped Inezia,
,Inezia subflava,,
Tawny-crowned Pygmy-tyrant,Euscarthmus meloryphus,,
Tawny-fronted Pygmy-tyrant,Euscarthmus fulviceps,,
Rufous-sided Pygmy-tyrant,Euscarthmus rufomarginatus,"Rufous-sided Pygmy-Tyrant, Rufous-sided Pygmy Tyrant",
,Euscarthmus meloryphus,"Tawny-crowned Pygmy-Tyrant, Tawny-crowned Pygmy Tyrant",
Yellow-bellied Tyrannulet,Ornithion semiflavum,,
Brown-capped Tyrannulet,Ornithion brunneicapillus,,Ornithion brunneicapillum
White-lored Tyrannulet,Ornithion inerme,,
Northern Beardless Tyrannulet,Camptostoma imberbe,"Northern Beardless-Tyrannulet, Northern Beardless-tyrannulet",
Southern Beardless Tyrannulet,Camptostoma obsoletum,"Southern Beardless-Tyrannulet, Southern Beardless-tyrannulet",
Rufous-crowned Elaenia,Elaenia ruficeps,,
Plain-crested Elaenia,Elaenia cristata,,
Mottle-backed Elaenia,Elaenia gigas,,
Great Elaenia,Elaenia dayi,,
Brazilian Elaenia,Elaenia sordida,,
Highland Elaenia,Elaenia obscura,,
Slaty Elaenia,Elaenia strepera,,
Yellow-bellied Elaenia,Elaenia flavogaster,,
Small-billed Elaenia,Elaenia parvirostris,,
Brownish Elaenia,Elaenia pelzelni,,
Large Elaenia,Elaenia spectabilis,,
Noronha Elaenia,Elaenia ridleyana,,
Coopman's Elaenia,Elaenia brachyptera,,
Lesser Elaenia,Elaenia chiriquensis,,
Olivaceous Elaenia,Elaenia mesoleuca,,
Sierran Elaenia,Elaenia pallatangae,,
Tepui Elaenia,Elaenia olivina,,
White-crested Elaenia,Elaenia albiceps,,
Mountain Elaenia,Elaenia frantzii,,
Caribbean Elaenia,Elaenia martinica,,
Hispaniolan Elaenia,Elaenia cherriei,,
Large Jamaican Elaenia,Elaenia fallax,,
,Elaenia obscura,,
,Elaenia pallatangae,,
,Elaenia fallax,,
,Elaenia chiriquensis,,
Yellow-crowned Tyrannulet,Tyrannulus elatus,,
Atlantic Grey Elaenia,Myiopagis caniceps,,
Amazonian Grey Elaenia,Myiopagis cinerea,,
Choco Grey Elaenia,Myiopagis parambae,,
Foothill Elaenia,Myiopagis olallai,,
Forest Elaenia,Myiopagis gaimardii,,
Pacific Elaenia,Myiopagis subplacens,,
Yellow-crowned Elaenia,Myiopagis flavivertex,,
Greenish Elaenia,Myiopagis viridicata,,
Small Jamaican Elaenia,Myiopagis cotta,Jamaican Elaenia,
,Myiopagis caniceps,Gray Elaenia,
Suiriri Flycatcher,Suiriri suiriri,Chaco Suiriri,
,Suiriri suiriri,Chaco Suiriri,
,Suiriri affinis,Campo Suiriri,
Yellow Tyrannulet,Capsiempis flaveola,,Phylloscartes flaveolus
Planalto Tyrannulet,Phyllomyias fasciatus,,
Yungas Tyrannulet,Phyllomyias weedeni,,
Rough-legged Tyrannulet,Phyllomyias burmeisteri,,
White-fronted Tyrannulet,Phyllomyias zeledoni,Zeledon's Tyrannulet,
Greenish Tyrannulet,Phyllomyias virescens,,
Reiser's Tyrannulet,Phyllomyias reiseri,,Xanthomyias reiseri
Urich's Tyrannulet,Phyllomyias urichi,,
Sclater's Tyrannulet,Phyllomyias sclateri,,
Grey-capped Tyrannulet,Phyllomyias griseocapilla,Gray-capped Tyrannulet,Oreotriccus griseocapillus
Sooty-headed Tyrannulet,Phyllomyias griseiceps,,
Plumbeous-crowned Tyrannulet,Phyllomyias plumbeiceps,,
Black-capped Tyrannulet,Phyllomyias nigrocapillus,,
Ashy-headed Tyrannulet,Phyllomyias cinereiceps,,
Tawny-rumped Tyrannulet,Phyllomyias uropygialis,,
,Phyllomyias burmeisteri,,
,Phyllomyias virescens,,
,Phyllomyias leucogonys,,
Tumbes Tyrannulet,Phaeomyias tumbezana,,
Mouse-colored Tyrannulet,Phaeomyias murina,,
,Phaeomyias murina,,
Cocos Flycatcher,Nesotriccus ridgwayi,,
Grey-and-white Tyrannulet,Pseudelaenia leucospodia,Gray-and-white Tyrannulet,Myiopagis leucospodia
White-tailed Tyrannulet,Mecocerculus poecilocercus,,
Buff-banded Tyrannulet,Mecocerculus hellmayri,,
White-banded Tyrannulet,Mecocerculus stictopterus,,
White-throated Tyrannulet,Mecocerculus leucophrys,,
Rufous-winged Tyrannulet,Mecocerculus calopterus,,
Sulphur-bellied Tyrannulet,Mecocerculus minor,,
Black-crested Tit-tyrant,Anairetes nigrocristatus,"Mara��n Tit-tyrant, Maranon Tit-Tyrant, Maranon Tit-tyrant",
Pied-crested Tit-tyrant,Anairetes reguloides,Pied-crested Tit-Tyrant,
Ash-breasted Tit-tyrant,Anairetes alpinus,Ash-breasted Tit-Tyrant,
Yellow-billed Tit-tyrant,Anairetes flavirostris,Yellow-billed Tit-Tyrant,
Tufted Tit-tyrant,Anairetes parulus,Tufted Tit-Tyrant,
Juan Fernandez Tit-tyrant,Anairetes fernandezianus,"Juan Fernandez Tit-Tyrant, Juan Fern�ndez Tit-tyrant",
Bearded Tachuri,Polystictus pectoralis,,
Grey-backed Tachuri,Polystictus superciliaris,Gray-backed Tachuri,
Sharp-tailed Tyrant,Culicivora caudacuta,"Sharp-tailed Grass Tyrant, Sharp-tailed Grass-Tyrant",
Crested Doradito,Pseudocolopteryx sclateri,,
Subtropical Doradito,Pseudocolopteryx acutipennis,,
Dinelli's Doradito,Pseudocolopteryx dinelliana,,Pseudocolopteryx dinellianus
Warbling Doradito,Pseudocolopteryx flaviventris,,
Ticking Doradito,Pseudocolopteryx citreola,,
,Pseudocolopteryx flaviventris,,
Torrent Tyrannulet,Serpophaga cinerea,,
River Tyrannulet,Serpophaga hypoleuca,,
Sooty Tyrannulet,Serpophaga nigricans,,
White-crested Tyrannulet,Serpophaga subcristata,,Serpophaga munda
Straneck's Tyrannulet,Serpophaga griseicapilla,,
,Serpophaga subcristata,,
,Serpophaga munda,,
,Serpophaga araguayae,,
Agile Tit-tyrant,Uromyias agilis,Agile Tit-Tyrant,Uromyias agilis; Anairetes agilis
Unstreaked Tit-tyrant,Uromyias agraphia,Unstreaked Tit-Tyrant,Uromyias agraphia; Anairetes agraphia
Short-tailed Field-tyrant,Muscigralla brevicauda,"Short-tailed Field-Tyrant, Short-tailed Field Tyrant",
Rufous-tailed Attila,Attila phoenicurus,,
Cinnamon Attila,Attila cinnamomeus,,
Ochraceous Attila,Attila torridus,,
Citron-bellied Attila,Attila citriniventris,,
White-eyed Attila,Attila bolivianus,Dull-capped Attila,
Grey-hooded Attila,Attila rufus,Gray-hooded Attila,
Bright-rumped Attila,Attila spadiceus,,
Piratic Flycatcher,Legatus leucophaius,,
Large-headed Flatbill,Ramphotrigon megacephalum,Bamboo Flatbill,Ramphotrigon megacephala
Rufous-tailed Flatbill,Ramphotrigon ruficauda,,
Dusky-tailed Flatbill,Ramphotrigon fuscicauda,,
Flammulated Flycatcher,Deltarhynchus flammulatus,,
Great Kiskadee,Pitangus sulphuratus,,
Lesser Kiskadee,Philohydor lictor,,Philohydor lictor; Pitangus lictor
Cattle Tyrant,Machetornis rixosa,,Machetornis rixosus
Sulphury Flycatcher,Tyrannopsis sulphurea,,
Boat-billed Flycatcher,Megarynchus pitangua,,
Golden-bellied Flycatcher,Myiodynastes hemichrysus,,
Golden-crowned Flycatcher,Myiodynastes chrysocephalus,,
Baird's Flycatcher,Myiodynastes bairdii,,Myiodynastes bairdi
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,,
Southern Streaked Flycatcher,Myiodynastes solitarius,Solitary Flycatcher,
Northern Streaked Flycatcher,Myiodynastes maculatus,,
,Myiodynastes chrysocephalus,,
,Myiodynastes hemichrysus,,
,Myiodynastes maculatus,,
Rusty-margined Flycatcher,Myiozetetes cayanensis,,
Social Flycatcher,Myiozetetes similis,,
Grey-capped Flycatcher,Myiozetetes granadensis,Gray-capped Flycatcher,
Dusky-chested Flycatcher,Myiozetetes luteiventris,,
White-ringed Flycatcher,Conopias albovittatus,,Conopias albovittata
Yellow-throated Flycatcher,Conopias parvus,,Conopias parva
Three-striped Flycatcher,Conopias trivirgatus,,Conopias trivirgata
Lemon-browed Flycatcher,Conopias cinchoneti,,
White-bearded Flycatcher,Phelpsia inornata,,Conopias inornata; Conopias inornatus; Phelpsia inornata
Variegated Flycatcher,Empidonomus varius,,
Crowned Slaty Flycatcher,Griseotyrannus aurantioatrocristatus,Crowned Slaty-Flycatcher,Griseotyrannus aurantioatrocristatus; Empidonomus aurantioatrocristatus
Snowy-throated Kingbird,Tyrannus niveigularis,,
White-throated Kingbird,Tyrannus albogularis,,
Tropical Kingbird,Tyrannus melancholicus,,
Couch's Kingbird,Tyrannus couchii,,
Cassin's Kingbird,Tyrannus vociferans,,
Thick-billed Kingbird,Tyrannus crassirostris,,
Western Kingbird,Tyrannus verticalis,,
Eastern Kingbird,Tyrannus tyrannus,,
Grey Kingbird,Tyrannus dominicensis,Gray Kingbird,
Loggerhead Kingbird,Tyrannus caudifasciatus,,
Giant Kingbird,Tyrannus cubensis,Cuban Flycatcher,
Scissor-tailed Flycatcher,Tyrannus forficatus,,
Fork-tailed Flycatcher,Tyrannus savana,,
